Games,Year,Sport,Discipline,Athlete,Team,Gender,Event,Medal,Gold,Silver,Bronze
Rome (1960),1960,Shooting,Shooting,Pentti Tapio Akseli Linnosvuo,FIN,Men,25m rapid fire pistol (60 shots) men,Silver,0,1,0
Rome (1960),1960,Shooting,Shooting,Vasili Borisov,URS,Men,300m free rifle 3 positions (3x40 shots) men,Bronze,0,0,1
Rome (1960),1960,Shooting,Shooting,Hubert Hammerer,AUT,Men,300m free rifle 3 positions (3x40 shots) men,Gold,1,0,0
Rome (1960),1960,Shooting,Shooting,Hansrudi Spillmann,SUI,Men,300m free rifle 3 positions (3x40 shots) men,Silver,0,1,0
Rome (1960),1960,Shooting,Shooting,Yoshihisa Yoshikawa,JPN,Men,50m pistol (60 shots) men,Bronze,0,0,1
Rome (1960),1960,Shooting,Shooting,Aleksei Gushchin,URS,Men,50m pistol (60 shots) men,Gold,1,0,0
Rome (1960),1960,Shooting,Shooting,Makhmud Umarov,URS,Men,50m pistol (60 shots) men,Silver,0,1,0
Rome (1960),1960,Shooting,Shooting,Klaus Zähringer,EUA,Men,50m rifle 3 positions (3x40 shots) men,Bronze,0,0,1
Rome (1960),1960,Shooting,Shooting,Viktor Shamburkin,URS,Men,50m rifle 3 positions (3x40 shots) men,Gold,1,0,0
Rome (1960),1960,Shooting,Shooting,Marat Niyazov,URS,Men,50m rifle 3 positions (3x40 shots) men,Silver,0,1,0
Rome (1960),1960,Shooting,Shooting,Enrico Forcella pelliccioni,VEN,Men,50m rifle prone (60 shots) men,Bronze,0,0,1
Rome (1960),1960,Shooting,Shooting,Peter Kohnke,EUA,Men,50m rifle prone (60 shots) men,Gold,1,0,0
Rome (1960),1960,Shooting,Shooting,James Enoch Hill,USA,Men,50m rifle prone (60 shots) men,Silver,0,1,0
Rome (1960),1960,Shooting,Shooting,Sergei Kalinin,URS,Men,trap (125 targets) men,Bronze,0,0,1
Rome (1960),1960,Shooting,Shooting,Ion Dumitrescu,ROU,Men,trap (125 targets) men,Gold,1,0,0
Rome (1960),1960,Shooting,Shooting,Galliano Rossini,ITA,Men,trap (125 targets) men,Silver,0,1,0
Rome (1960),1960,Weightlifting,Weightlifting,Esmail Elm-khah,IRI,Men,"- 56kg, total (bantamweight) men",Bronze,0,0,1
Rome (1960),1960,Weightlifting,Weightlifting,Charles Thomas Jr. Vinci,USA,Men,"- 56kg, total (bantamweight) men",Gold,1,0,0
Rome (1960),1960,Weightlifting,Weightlifting,Yoshinobu Miyake,JPN,Men,"- 56kg, total (bantamweight) men",Silver,0,1,0
Rome (1960),1960,Weightlifting,Weightlifting,Norbert Schemansky,USA,Men,"+ 90kg, total (heavyweight) men",Bronze,0,0,1
Rome (1960),1960,Weightlifting,Weightlifting,Yuri Vlasov,URS,Men,"+ 90kg, total (heavyweight) men",Gold,1,0,0
Rome (1960),1960,Weightlifting,Weightlifting,James Edward Bradford,USA,Men,"+ 90kg, total (heavyweight) men",Silver,0,1,0
Rome (1960),1960,Weightlifting,Weightlifting,Sebastiano Mannironi,ITA,Men,"56 - 60kg, total (featherweight) men",Bronze,0,0,1
Rome (1960),1960,Weightlifting,Weightlifting,Yevgeni Minaev,URS,Men,"56 - 60kg, total (featherweight) men",Gold,1,0,0
Rome (1960),1960,Weightlifting,Weightlifting,Isaac Berger,USA,Men,"56 - 60kg, total (featherweight) men",Silver,0,1,0
Rome (1960),1960,Weightlifting,Weightlifting,Abdul Wahid aziz,IRQ,Men,"60 - 67.5kg, total (lightweight) men",Bronze,0,0,1
Rome (1960),1960,Weightlifting,Weightlifting,Viktor Bushuev,URS,Men,"60 - 67.5kg, total (lightweight) men",Gold,1,0,0
Rome (1960),1960,Weightlifting,Weightlifting,Howe-Liang (Tiger) Tan,SIN,Men,"60 - 67.5kg, total (lightweight) men",Silver,0,1,0
Rome (1960),1960,Weightlifting,Weightlifting,Gyözö Veres,HUN,Men,"67.5 - 75kg, total (middleweight) men",Bronze,0,0,1
Rome (1960),1960,Weightlifting,Weightlifting,Aleksandr Kurynov,URS,Men,"67.5 - 75kg, total (middleweight) men",Gold,1,0,0
Rome (1960),1960,Weightlifting,Weightlifting,Thomas Tamio Kono,USA,Men,"67.5 - 75kg, total (middleweight) men",Silver,0,1,0
Rome (1960),1960,Weightlifting,Weightlifting,Jan Bochenek,POL,Men,"75 - 82.5kg, total (light-heavyweight) men",Bronze,0,0,1
Rome (1960),1960,Weightlifting,Weightlifting,Ireneusz Palinski,POL,Men,"75 - 82.5kg, total (light-heavyweight) men",Gold,1,0,0
Rome (1960),1960,Weightlifting,Weightlifting,James D. George,USA,Men,"75 - 82.5kg, total (light-heavyweight) men",Silver,0,1,0
Rome (1960),1960,Weightlifting,Weightlifting,Louis George Martin,GBR,Men,"82.5 - 90kg, total (middle-heavyweight) men",Bronze,0,0,1
Rome (1960),1960,Weightlifting,Weightlifting,Arkadi Vorobyev,URS,Men,"82.5 - 90kg, total (middle-heavyweight) men",Gold,1,0,0
Rome (1960),1960,Weightlifting,Weightlifting,Trofim Lomakin,URS,Men,"82.5 - 90kg, total (middle-heavyweight) men",Silver,0,1,0
Rome (1960),1960,Wrestling,Wrestling Freestyle,Mohammad Ebrahim Saifpour-saidabadi,IRI,Men,- 52kg (flyweight) men,Bronze,0,0,1
Rome (1960),1960,Wrestling,Wrestling Freestyle,Ahmet Bilek,TUR,Men,- 52kg (flyweight) men,Gold,1,0,0
Rome (1960),1960,Wrestling,Wrestling Freestyle,Masayuki Matsubara,JPN,Men,- 52kg (flyweight) men,Silver,0,1,0
Rome (1960),1960,Wrestling,Wrestling Freestyle,Savkus Dzarasov,URS,Men,+ 87kg (heavyweight) men,Bronze,0,0,1
Rome (1960),1960,Wrestling,Wrestling Freestyle,Wilfried Dietrich,EUA,Men,+ 87kg (heavyweight) men,Gold,1,0,0
Rome (1960),1960,Wrestling,Wrestling Freestyle,Hamit Kaplan,TUR,Men,+ 87kg (heavyweight) men,Silver,0,1,0
Rome (1960),1960,Wrestling,Wrestling Freestyle,Tadeusz Hipolit Trojanowski,POL,Men,52 - 57kg (bantamweight) men,Bronze,0,0,1
Rome (1960),1960,Wrestling,Wrestling Freestyle,Terence John Mccann,USA,Men,52 - 57kg (bantamweight) men,Gold,1,0,0
Rome (1960),1960,Wrestling,Wrestling Freestyle,Nedjet Zalev,BUL,Men,52 - 57kg (bantamweight) men,Silver,0,1,0
Rome (1960),1960,Wrestling,Wrestling Freestyle,Vladimir Rubashvili,URS,Men,57 - 63kg (featherweight) men,Bronze,0,0,1
Rome (1960),1960,Wrestling,Wrestling Freestyle,Mustafa Dagistanli,TUR,Men,57 - 63kg (featherweight) men,Gold,1,0,0
Rome (1960),1960,Wrestling,Wrestling Freestyle,Stancho Ivanov Kolev,BUL,Men,57 - 63kg (featherweight) men,Silver,0,1,0
Rome (1960),1960,Wrestling,Wrestling Freestyle,Enyu Dimov Valtchev,BUL,Men,63 - 67kg (lightweight) men,Bronze,0,0,1
Rome (1960),1960,Wrestling,Wrestling Freestyle,Shelby Autrie Wilson,USA,Men,63 - 67kg (lightweight) men,Gold,1,0,0
Rome (1960),1960,Wrestling,Wrestling Freestyle,Vladimir Sinyavsky,URS,Men,63 - 67kg (lightweight) men,Silver,0,1,0
Rome (1960),1960,Wrestling,Wrestling Freestyle,Bashir Muhammad,PAK,Men,67 - 73kg (welterweight) men,Bronze,0,0,1
Rome (1960),1960,Wrestling,Wrestling Freestyle,Douglas Morton Blubaugh,USA,Men,67 - 73kg (welterweight) men,Gold,1,0,0
Rome (1960),1960,Wrestling,Wrestling Freestyle,Ismail Ogan,TUR,Men,67 - 73kg (welterweight) men,Silver,0,1,0
Rome (1960),1960,Wrestling,Wrestling Freestyle,Hans Antonsson,SWE,Men,73 - 79kg (middleweight) men,Bronze,0,0,1
Rome (1960),1960,Wrestling,Wrestling Freestyle,Hasan Güngör,TUR,Men,73 - 79kg (middleweight) men,Gold,1,0,0
Rome (1960),1960,Wrestling,Wrestling Freestyle,Georgi Skhirtladze,URS,Men,73 - 79kg (middleweight) men,Silver,0,1,0
Rome (1960),1960,Wrestling,Wrestling Freestyle,Anatoli Albul,URS,Men,79 - 87kg (light-heavyweight) men,Bronze,0,0,1
Rome (1960),1960,Wrestling,Wrestling Freestyle,Ismet Atli,TUR,Men,79 - 87kg (light-heavyweight) men,Gold,1,0,0
Rome (1960),1960,Wrestling,Wrestling Freestyle,Gholam Reza Takhti,IRI,Men,79 - 87kg (light-heavyweight) men,Silver,0,1,0
Rome (1960),1960,Wrestling,Wrestling Greco-Romano,Mohammad Paziraye,IRI,Men,- 52kg (flyweight) men,Bronze,0,0,1
Rome (1960),1960,Wrestling,Wrestling Greco-Romano,Dumitru Pirvulescu,ROU,Men,- 52kg (flyweight) men,Gold,1,0,0
Rome (1960),1960,Wrestling,Wrestling Greco-Romano,Osman Sayed,EGY,Men,- 52kg (flyweight) men,Silver,0,1,0
Rome (1960),1960,Wrestling,Wrestling Greco-Romano,Karel Kubat,TCH,Men,+ 87kg (super heavyweight) men,Bronze,0,0,1
Rome (1960),1960,Wrestling,Wrestling Greco-Romano,Ivan Bogdan,URS,Men,+ 87kg (super heavyweight) men,Gold,1,0,0
Rome (1960),1960,Wrestling,Wrestling Greco-Romano,Wilfried Dietrich,EUA,Men,+ 87kg (super heavyweight) men,Silver,0,1,0
Rome (1960),1960,Wrestling,Wrestling Greco-Romano,Dinko Petrov Stoykov,BUL,Men,52 - 57kg (bantamweight) men,Bronze,0,0,1
Rome (1960),1960,Wrestling,Wrestling Greco-Romano,Oleg Karavaev,URS,Men,52 - 57kg (bantamweight) men,Gold,1,0,0
Rome (1960),1960,Wrestling,Wrestling Greco-Romano,Ion Cernea,ROU,Men,52 - 57kg (bantamweight) men,Silver,0,1,0
Rome (1960),1960,Wrestling,Wrestling Greco-Romano,Konstantin Vyrupaev,URS,Men,57 - 61kg (featherweight) men,Bronze,0,0,1
Rome (1960),1960,Wrestling,Wrestling Greco-Romano,Müzahir Sille,TUR,Men,57 - 61kg (featherweight) men,Gold,1,0,0
Rome (1960),1960,Wrestling,Wrestling Greco-Romano,Imre Polyak,HUN,Men,57 - 61kg (featherweight) men,Silver,0,1,0
Rome (1960),1960,Wrestling,Wrestling Greco-Romano,Gustav Freij,SWE,Men,61 - 67kg (lightweight) men,Bronze,0,0,1
Rome (1960),1960,Wrestling,Wrestling Greco-Romano,Avtandil Koridze,URS,Men,61 - 67kg (lightweight) men,Gold,1,0,0
Rome (1960),1960,Wrestling,Wrestling Greco-Romano,Branko Martinovic,YUG,Men,61 - 67kg (lightweight) men,Silver,0,1,0
Rome (1960),1960,Wrestling,Wrestling Greco-Romano,Rene Schiermeyer,FRA,Men,67 - 73kg (welterweight) men,Bronze,0,0,1
Rome (1960),1960,Wrestling,Wrestling Greco-Romano,Mithat Bayrak,TUR,Men,67 - 73kg (welterweight) men,Gold,1,0,0
Rome (1960),1960,Wrestling,Wrestling Greco-Romano,Gunther Maritschnigg,EUA,Men,67 - 73kg (welterweight) men,Silver,0,1,0
Rome (1960),1960,Wrestling,Wrestling Greco-Romano,Ion Taranu,ROU,Men,73 - 79kg (middleweight) men,Bronze,0,0,1
Rome (1960),1960,Wrestling,Wrestling Greco-Romano,Dimitre Dimitrov Dobrev,BUL,Men,73 - 79kg (middleweight) men,Gold,1,0,0
Rome (1960),1960,Wrestling,Wrestling Greco-Romano,Lothar Metz,EUA,Men,73 - 79kg (middleweight) men,Silver,0,1,0
Rome (1960),1960,Wrestling,Wrestling Greco-Romano,Givi Kartoziya,URS,Men,79 - 87kg (light-heavyweight) men,Bronze,0,0,1
Rome (1960),1960,Wrestling,Wrestling Greco-Romano,Tevfik Kis,TUR,Men,79 - 87kg (light-heavyweight) men,Gold,1,0,0
Rome (1960),1960,Wrestling,Wrestling Greco-Romano,Krali Peytchev Bimbalov,BUL,Men,79 - 87kg (light-heavyweight) men,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Diving,Thomas Eugen Gompf,USA,Men,10m platform men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Diving,Robert David Webster,USA,Men,10m platform men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Diving,Klaus Dibiasi,ITA,Men,10m platform men,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Diving,Galina Alekseeva,URS,Women,10m platform women,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Diving,Lesley Leigh Bush,USA,Women,10m platform women,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Diving,Ingrid Krämer-engel-gulbin,EUA,Women,10m platform women,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Diving,Lawrence Edwin Andreasen,USA,Men,3m springboard men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Diving,Kenneth Robert Sitzberger,USA,Men,3m springboard men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Diving,Francis Xavier Gorman,USA,Men,3m springboard men,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Diving,Mary Patricia Willard,USA,Women,3m springboard women,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Diving,Ingrid Krämer-engel-gulbin,EUA,Women,3m springboard women,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Diving,Jeanne Ellen Collier,USA,Women,3m springboard women,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Virginia Ruth Duenkel,USA,Women,100m backstroke women,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Kathleen Jean Ferguson,USA,Women,100m backstroke women,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Christine (Kiki) Caron,FRA,Women,100m backstroke women,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Kathleen Ellis,USA,Women,100m butterfly women,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Sharon Marie Stouder,USA,Women,100m butterfly women,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Aagje Ada Kok,NED,Women,100m butterfly women,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Hans-Joachim Klein,EUA,Men,100m freestyle men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Donald Arthur Schollander,USA,Men,100m freestyle men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Robert Bilsland Mcgregor,GBR,Men,100m freestyle men,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Kathleen Ellis,USA,Women,100m freestyle women,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Dawn Fraser,AUS,Women,100m freestyle women,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Sharon Marie Stouder,USA,Women,100m freestyle women,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Allan Wood,AUS,Men,1500m freestyle men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Robert George Windle,AUS,Men,1500m freestyle men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,John Mauer Nelson,USA,Men,1500m freestyle men,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Robert Earl Bennett,USA,Men,200m backstroke men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Jedward Richard Graef,USA,Men,200m backstroke men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Gary J. Dilley,USA,Men,200m backstroke men,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Chester Andrew Jastremski,USA,Men,200m breaststroke men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Lawrence Ian O'brien,AUS,Men,200m breaststroke men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Georgi Prokopenko,URS,Men,200m breaststroke men,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Svetlana Babanina,URS,Women,200m breaststroke women,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Galina Prozumenschikova-stepanova,URS,Women,200m breaststroke women,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Claudia Anne Kolb,USA,Women,200m breaststroke women,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Frederick Weber Schmidt,USA,Men,200m butterfly men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Kevin John Berry,AUS,Men,200m butterfly men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Carl Joseph III Robie,USA,Men,200m butterfly men,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Allan Wood,AUS,Men,400m freestyle men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Donald Arthur Schollander,USA,Men,400m freestyle men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Frank Wiegand,EUA,Men,400m freestyle men,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Therese Lee Stickles,USA,Women,400m freestyle women,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Virginia Ruth Duenkel,USA,Women,400m freestyle women,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Marilyn Ramenofsky,USA,Women,400m freestyle women,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Gerhard Hetz,EUA,Men,400m individual medley men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Richard William Roth,USA,Men,400m individual medley men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Roy Allen Saari,USA,Men,400m individual medley men,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Martha Irene Randall,USA,Women,400m individual medley women,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Donna Elizabeth De varona,USA,Women,400m individual medley women,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Sharon Evans Finneran,USA,Women,400m individual medley women,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,David Gavin Dickson,AUS,Men,4x100m freestyle relay men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Peter John Doak,AUS,Men,4x100m freestyle relay men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,John Ryan,AUS,Men,4x100m freestyle relay men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Robert George Windle,AUS,Men,4x100m freestyle relay men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Michael Mackay Austin,USA,Men,4x100m freestyle relay men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Stephen Edward Clark,USA,Men,4x100m freestyle relay men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Gary Steven Ilman,USA,Men,4x100m freestyle relay men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Donald Arthur Schollander,USA,Men,4x100m freestyle relay men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Uwe Jacobsen,EUA,Men,4x100m freestyle relay men,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Hans-Joachim Klein,EUA,Men,4x100m freestyle relay men,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Horst Löffler,EUA,Men,4x100m freestyle relay men,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Frank Wiegand,EUA,Men,4x100m freestyle relay men,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Catharina Johanna Beumer,NED,Women,4x100m freestyle relay women,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Erica Georgine Terpstra,NED,Women,4x100m freestyle relay women,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Paulina Van der wildt,NED,Women,4x100m freestyle relay women,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Wilhelmina Van weerdenburg,NED,Women,4x100m freestyle relay women,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Donna Elizabeth De varona,USA,Women,4x100m freestyle relay women,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Kathleen Ellis,USA,Women,4x100m freestyle relay women,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Sharon Marie Stouder,USA,Women,4x100m freestyle relay women,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Lillian Debra Watson,USA,Women,4x100m freestyle relay women,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Lynette Bell,AUS,Women,4x100m freestyle relay women,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Dawn Fraser,AUS,Women,4x100m freestyle relay women,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Janice Murphy,AUS,Women,4x100m freestyle relay women,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Robyn Thorn-risson,AUS,Women,4x100m freestyle relay women,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Kevin John Berry,AUS,Men,4x100m medley relay men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,David Gavin Dickson,AUS,Men,4x100m medley relay men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Lawrence Ian O'brien,AUS,Men,4x100m medley relay men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Peter Askin Reynolds,AUS,Men,4x100m medley relay men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Stephen Edward Clark,USA,Men,4x100m medley relay men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,William Norval Craig,USA,Men,4x100m medley relay men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Harold Thompson Mann,USA,Men,4x100m medley relay men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Frederick Weber Schmidt,USA,Men,4x100m medley relay men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Horst-Günther Gregor,EUA,Men,4x100m medley relay men,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Egon Henninger,EUA,Men,4x100m medley relay men,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Hans-Joachim Klein,EUA,Men,4x100m medley relay men,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Ernst Joachim Küppers,EUA,Men,4x100m medley relay men,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Svetlana Babanina,URS,Women,4x100m medley relay women,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Tatyana Devyatova,URS,Women,4x100m medley relay women,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Tatyana Savelyeva,URS,Women,4x100m medley relay women,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Natalya Ustinova,URS,Women,4x100m medley relay women,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Kathleen Ellis,USA,Women,4x100m medley relay women,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Kathleen Jean Ferguson,USA,Women,4x100m medley relay women,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Cynthia Lee Goyette,USA,Women,4x100m medley relay women,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Sharon Marie Stouder,USA,Women,4x100m medley relay women,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Clena Geertje Bimolt,NED,Women,4x100m medley relay women,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Aagje Ada Kok,NED,Women,4x100m medley relay women,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Erica Georgine Terpstra,NED,Women,4x100m medley relay women,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Kornelia Winkel,NED,Women,4x100m medley relay women,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Makoto Fukui,JPN,Men,4x200m freestyle relay men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Kunihiro Iwasaki,JPN,Men,4x200m freestyle relay men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Yukiaki Okabe,JPN,Men,4x200m freestyle relay men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Toshio Shoji,JPN,Men,4x200m freestyle relay men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Swimming,Stephen Edward Clark,USA,Men,4x200m freestyle relay men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Gary Steven Ilman,USA,Men,4x200m freestyle relay men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Roy Allen Saari,USA,Men,4x200m freestyle relay men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Donald Arthur Schollander,USA,Men,4x200m freestyle relay men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Swimming,Horst-Günther Gregor,EUA,Men,4x200m freestyle relay men,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Gerhard Hetz,EUA,Men,4x200m freestyle relay men,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Hans-Joachim Klein,EUA,Men,4x200m freestyle relay men,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Swimming,Frank Wiegand,EUA,Men,4x200m freestyle relay men,Silver,0,1,0
Tokyo (1964),1964,Aquatics,Water polo,Viktor Ageev,URS,Men,water polo men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Water polo,Zenon Bortkevich,URS,Men,water polo men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Water polo,Eduard Egorov,URS,Men,water polo men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Water polo,Igor Grabovsky,URS,Men,water polo men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Water polo,Boris Grishin,URS,Men,water polo men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Water polo,Nikolai Kalashnikov,URS,Men,water polo men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Water polo,Nikolai Kuznetsov,URS,Men,water polo men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Water polo,Vladimir Kuznetsov,URS,Men,water polo men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Water polo,Leonid Osipov,URS,Men,water polo men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Water polo,Boris Popov,URS,Men,water polo men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Water polo,Vladimir Semenov,URS,Men,water polo men,Bronze,0,0,1
Tokyo (1964),1964,Aquatics,Water polo,Miklos Ambrus,HUN,Men,water polo men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Water polo,Andras Bodnar,HUN,Men,water polo men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Water polo,Otto Boros,HUN,Men,water polo men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Water polo,Zoltan Dömötör,HUN,Men,water polo men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Water polo,Laszlo Felkai,HUN,Men,water polo men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Water polo,Dezso Gyarmati,HUN,Men,water polo men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Water polo,Tivadar Kanizsa,HUN,Men,water polo men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Water polo,György Karpati,HUN,Men,water polo men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Water polo,Janos Konrad,HUN,Men,water polo men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Water polo,Mihaly Mayer,HUN,Men,water polo men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Water polo,Denes Pocsik,HUN,Men,water polo men,Gold,1,0,0
Tokyo (1964),1964,Aquatics,Water polo,Peter Rusoran,HUN,Men,water polo men,Gold,1,0,0
